PRODUCT_ID,DESCRIPTION,PRICE
bowl,Colorwave Rice Bowl (Dinnerware),45.50
curtain,Sheer Voile Rod Pocket Curtain Panel (Window Treatments),120.00
fork,Martellato Salad Fork (Silverware),
hairdryer,Compact Folding Hair Dryer  (Hair Care),123.00
plate,White Elements Plates (Dinnerware),
shampoo,Amino Acid Shampoo (Hair Care),43.00
spoon,Steel Spoon (Silverware),
tablecloth,La Classica Luxury Tablecloth (Table Linens),
teacup,French Garden Fleurence Teacup (Dinnerware),25.00
teapot,Deco Dot Gold Tea Kettle (Dinnerware) ,56.00
