USER_ID,PRODUCT_ID,GENDER,AGE,OCCUPATION,CITY_CATEGORY,STAY_IN_CURRENT_CITY_YEARS,MARITAL_STATUS,PURCHASE
1000058,P00288642,M,26-35,2,B,3,0,16579
1000062,P00203142,F,36-45,3,A,1,0,16698
1000092,P00255842,F,18-25,4,B,1,0,16416
1000036,P00331842,M,26-35,3,B,0,0,16866
1000036,P00288642,M,26-35,3,B,0,0,20442
1000146,P00203142,F,36-45,20,B,3,1,16813
1000188,P00255842,M,55+,16,C,2,0,12379
1000216,P00246942,M,46-50,13,B,1,0,10322
1000250,P00115842,M,36-45,16,C,1,0,16500
1000268,P00250342,F,18-25,12,C,1,0,8272
1000272,P00355642,M,18-25,0,A,1,0,16630
1000352,P00040942,M,18-25,4,A,0,0,12609
1000352,P00302642,M,18-25,4,A,0,0,8857
1000354,P00298442,M,36-45,1,A,1,0,20620
1000422,P00279442,M,55+,17,A,4+,0,16261
1000424,P00285242,M,26-35,17,A,3,0,10549
1000448,P00263542,M,26-35,17,C,0,0,12541
1000368,P00231242,M,26-35,0,C,1,0,16910
1000370,P00255842,M,18-25,17,C,3,0,20549
1000308,P00031142,M,26-35,2,A,3,1,16712
1000326,P00255842,M,51-55,11,B,1,1,20398
1000330,P00174842,M,55+,7,C,2,0,10366
1000338,P00302642,M,36-45,7,A,1,0,16622
1000648,P00298442,F,26-35,12,B,1,1,12635
1000652,P00309342,M,18-25,20,C,3,0,4557
1000482,P00036442,M,26-35,14,A,2,1,16706
1000482,P00064142,M,26-35,14,A,2,1,16721
1000482,P00300042,M,26-35,14,A,2,1,12162
1000482,P00255842,M,26-35,14,A,2,1,12105
1000506,P00250342,M,26-35,16,C,1,0,16276
1000506,P00355642,M,26-35,16,C,1,0,12756
1000520,P00298442,F,36-45,20,A,2,0,16901
1000524,P00074042,M,18-25,0,A,0,0,4151
1000524,P00052742,M,18-25,0,A,0,0,8670
1000566,P00261542,M,26-35,17,A,3,0,12566
1000566,P00207442,M,26-35,17,A,3,0,8539
1000590,P00018542,F,36-45,6,C,1,0,20840
